Movie_Name,Rating ,Season,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Week18,Week19,Week20,Week21,Week22,Week23,Week24,Week25,Week26,Week27,Week28
Knight and Day,PG-13,Summer,0.09537,0.36664,0.24574,0.14944,0.07161,0.03275,0.01386,0.00634,0.00511,0.00503,0.00345,0.00243,0.00098,0.00063,0.00042,0.00019,0,0,0,0,0,0,0,0,0,0,0,0
HPDH Part 1,PG-13,Fall,0.57616,0.19502,0.07352,0.03903,0.03091,0.03072,0.02179,0.01049,0.00691,0.004,0.00259,0.0017,0.00221,0.00184,0.00108,0.00072,0.00049,0.00033,0.0003,0.00019,0,0,0,0,0,0,0,0
Inception,PG-13,Summer,0.34233,0.22445,0.14801,0.09588,0.05814,0.03914,0.02369,0.02337,0.01283,0.00904,0.00579,0.00407,0.00243,0.00163,0.00241,0.00186,0.0016,0.00108,0.00083,0.00054,0.00033,0.00025,0.00015,0.00009,0.00008,0,0,0
HTTYD,PG,Spring,0.29013,0.20873,0.13823,0.11204,0.08532,0.05871,0.0382,0.02962,0.01156,0.00823,0.00322,0.0023,0.0016,0.004,0.0035,0.00264,0.00198,0,0,0,0,0,0,0,0,0,0,0
Tron: Legacy,PG,Winter,0.3965,0.25761,0.14863,0.07623,0.04836,0.02699,0.01855,0.01049,0.00459,0.00395,0.00262,0.00192,0.00131,0.00084,0.00066,0.00052,0.00023,0,0,0,0,0,0,0,0,0,0,0
Iron Man 2,PG-13,Spring,0.49566,0.204,0.10561,0.10561,0.03504,0.02048,0.01298,0.00669,0.00371,0.00191,0.00294,0.00222,0.00155,0.00099,0.00062,0,0,0,0,0,0,0,0,0,0,0,0,0
Alice in Wonderland,PG,Spring,0.43875,0.2532,0.13341,0.0769,0.03645,0.02025,0.01436,0.00878,0.0058,0.00284,0.00184,0.00216,0.00268,0.00135,0.00068,0.00038,0.00013,0.00004,0,0,0,0,0,0,0,0,0,0
Toy Story 3,G,Summer,0.40373,0.21994,0.14313,0.0789,0.04706,0.03407,0.02079,0.01285,0.00886,0.00571,0.00363,0.00737,0.00231,0.00145,0.00099,0.00071,0.00201,0.0017,0.00143,0.00101,0.00097,0.00061,0.00046,0.00031,0,0,0,0
Tangled,PG,Fall,0.09929,0.27399,0.12998,0.09003,0.09025,0.10333,0.06299,0.03167,0.0311,0.0188,0.0158,0.01129,0.00534,0.00446,0.00266,0.00518,0.00529,0.00437,0.00384,0.00236,0.00138,0.00067,0.00022,0.00011,0.00004,0.00004,0.00475,0.00075
Black Swan,R,Winter,0.02131,0.04796,0.14049,0.1542,0.13257,0.10998,0.11699,0.07689,0.06436,0.04419,0.028,0.01907,0.01737,0.01291,0.006,0.00247,0.00257,0.00151,0.00151,0.00031,0.00008,0.00004,0,0,0,0,0,0
Love & Other Drugs,R,Fall,0.1286,0.39422,0.23871,0.1372,0.05098,0.00995,0.01025,0.01305,0.00746,0.0045,0.00312,0.00125,0.00072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kick-Ass,R,Spring,0.52767,0.25684,0.12514,0.04785,0.01696,0.00874,0.00534,0.00237,0.00399,0.0028,0.0013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Town,R,Summer,0.35891,0.23019,0.14242,0.09868,0.05857,0.04034,0.03181,0.0174,0.00634,0.00371,0.00453,0.00308,0.00217,0.00098,0.00045,0.0004,0,0,0,0,0,0,0,0,0,0,0,0
The Social Network,PG-13,Fall,0.31527,0.22225,0.13935,0.09669,0.06643,0.04735,0.02343,0.01452,0.00875,0.00563,0.00462,0.00514,0.00722,0.00688,0.00947,0.00642,0.00631,0.00596,0.00341,0.00193,0.00141,0.0016,0,0,0,0,0,0
RED,PG-13,Fall,0.31515,0.21698,0.16507,0.12935,0.07085,0.04022,0.01857,0.01157,0.00695,0.00664,0.00577,0.00473,0.00312,0.00232,0.00159,0.00113,0,0,0,0,0,0,0,0,0,0,0,0
SP vs The World,PG-13,Summer,0.49791,0.25267,0.11485,0.07411,0.03495,0.01517,0.00721,0.00314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Despicable Me,PG,Summer,0.34046,0.20663,0.14793,0.10018,0.06052,0.04441,0.02792,0.01604,0.01759,0.00777,0.00439,0.00286,0.00222,0.00197,0.00176,0.00183,0.00149,0.00186,0.00178,0.00183,0.00169,0.00109,0.00104,0.00146,0.00137,0.00093,0.00059,0.0004
Shutter Island,R,Winter,0.41305,0.23161,0.13548,0.08708,0.05008,0.03537,0.0169,0.00908,0.00545,0.00304,0.00188,0.00246,0.00314,0.0025,0.00194,0.00096,0,0,0,0,0,0,0,0,0,0,0,0
Grown Ups,PG-13,Summer,0.36161,0.22428,0.15024,0.09603,0.07038,0.04352,0.02253,0.00994,0.00358,0.0021,0.00527,0.00304,0.00242,0.00185,0.0013,0.00092,0.00064,0.00034,0,0,0,0,0,0,0,0,0,0
PJ&O The Lightning Thief,PG,Winter,0.48959,0.20226,0.12976,0.07052,0.05044,0.01987,0.01057,0.00561,0.00396,0.0033,0.00326,0.00279,0.00202,0.00179,0.00146,0.00117,0.00076,0.00045,0.00024,0.00017,0,0,0,0,0,0,0,0